vélo;utilisateur;depart;heure départ;arrivée;heure arrivée
227;None;None;None;22;2010-01-01T10:00:00
228;None;None;None;117;2010-01-01T10:00:00
229;None;None;None;168;2010-01-01T10:00:00
230;None;None;None;151;2010-01-01T10:00:00
231;None;None;None;64;2010-01-01T10:00:00
232;None;None;None;72;2010-01-01T10:00:00
233;None;None;None;106;2010-01-01T10:00:00
234;None;None;None;78;2010-01-01T10:00:00
235;None;None;None;12;2010-01-01T10:00:00
236;None;None;None;67;2010-01-01T10:00:00
237;None;None;None;101;2010-01-01T10:00:00
238;None;None;None;76;2010-01-01T10:00:00
239;None;None;None;84;2010-01-01T10:00:00
240;None;None;None;117;2010-01-01T10:00:00
241;None;None;None;142;2010-01-01T10:00:00
242;None;None;None;47;2010-01-01T10:00:00
243;None;None;None;44;2010-01-01T10:00:00
244;None;None;None;137;2010-01-01T10:00:00
245;None;None;None;122;2010-01-01T10:00:00
246;None;None;None;76;2010-01-01T10:00:00
247;None;None;None;41;2010-01-01T10:00:00
248;None;None;None;9;2010-01-01T10:00:00
249;None;None;None;130;2010-01-01T10:00:00
250;None;None;None;156;2010-01-01T10:00:00
251;None;None;None;145;2010-01-01T10:00:00
252;None;None;None;60;2010-01-01T10:00:00
253;None;None;None;64;2010-01-01T10:00:00
254;None;None;None;139;2010-01-01T10:00:00
255;None;None;None;116;2010-01-01T10:00:00
256;None;None;None;34;2010-01-01T10:00:00
257;None;None;None;60;2010-01-01T10:00:00
258;None;None;None;142;2010-01-01T10:00:00
259;None;None;None;67;2010-01-01T10:00:00
260;None;None;None;136;2010-01-01T10:00:00
261;None;None;None;95;2010-01-01T10:00:00
262;None;None;None;14;2010-01-01T10:00:00
263;None;None;None;123;2010-01-01T10:00:00
264;None;None;None;142;2010-01-01T10:00:00
265;None;None;None;67;2010-01-01T10:00:00
266;None;None;None;116;2010-01-01T10:00:00
267;None;None;None;110;2010-01-01T10:00:00
268;None;None;None;32;2010-01-01T10:00:00
269;None;None;None;121;2010-01-01T10:00:00
270;None;None;None;141;2010-01-01T10:00:00
271;None;None;None;56;2010-01-01T10:00:00
272;None;None;None;97;2010-01-01T10:00:00
273;None;None;None;4;2010-01-01T10:00:00
274;None;None;None;44;2010-01-01T10:00:00
275;None;None;None;172;2010-01-01T10:00:00
276;None;None;None;0;2010-01-01T10:00:00
277;None;None;None;56;2010-01-01T10:00:00
278;None;None;None;56;2010-01-01T10:00:00
279;None;None;None;77;2010-01-01T10:00:00
280;None;None;None;17;2010-01-01T10:00:00
281;None;None;None;118;2010-01-01T10:00:00
282;None;None;None;136;2010-01-01T10:00:00
283;None;None;None;108;2010-01-01T10:00:00
284;None;None;None;164;2010-01-01T10:00:00
285;None;None;None;39;2010-01-01T10:00:00
286;None;None;None;159;2010-01-01T10:00:00
287;None;None;None;43;2010-01-01T10:00:00
288;None;None;None;63;2010-01-01T10:00:00
289;None;None;None;79;2010-01-01T10:00:00
290;None;None;None;77;2010-01-01T10:00:00
291;None;None;None;159;2010-01-01T10:00:00
292;None;None;None;86;2010-01-01T10:00:00
293;None;None;None;32;2010-01-01T10:00:00
294;None;None;None;151;2010-01-01T10:00:00
295;None;None;None;20;2010-01-01T10:00:00
296;None;None;None;141;2010-01-01T10:00:00
297;None;None;None;0;2010-01-01T10:00:00
298;None;None;None;71;2010-01-01T10:00:00
299;None;None;None;37;2010-01-01T10:00:00
300;None;None;None;113;2010-01-01T10:00:00
301;None;None;None;157;2010-01-01T10:00:00
302;None;None;None;103;2010-01-01T10:00:00
303;None;None;None;170;2010-01-01T10:00:00
304;None;None;None;116;2010-01-01T10:00:00
305;None;None;None;18;2010-01-01T10:00:00
306;None;None;None;8;2010-01-01T10:00:00
307;None;None;None;76;2010-01-01T10:00:00
308;None;None;None;31;2010-01-01T10:00:00
309;None;None;None;80;2010-01-01T10:00:00
310;None;None;None;40;2010-01-01T10:00:00
311;None;None;None;54;2010-01-01T10:00:00
312;None;None;None;58;2010-01-01T10:00:00
313;None;None;None;138;2010-01-01T10:00:00
314;None;None;None;118;2010-01-01T10:00:00
315;None;None;None;121;2010-01-01T10:00:00
316;None;None;None;112;2010-01-01T10:00:00
317;None;None;None;10;2010-01-01T10:00:00
318;None;None;None;105;2010-01-01T10:00:00
319;None;None;None;34;2010-01-01T10:00:00
320;None;None;None;178;2010-01-01T10:00:00
321;None;None;None;122;2010-01-01T10:00:00
322;None;None;None;68;2010-01-01T10:00:00
323;None;None;None;107;2010-01-01T10:00:00
324;None;None;None;4;2010-01-01T10:00:00
325;None;None;None;25;2010-01-01T10:00:00
326;None;None;None;1;2010-01-01T10:00:00
327;None;None;None;50;2010-01-01T10:00:00
328;None;None;None;92;2010-01-01T10:00:00
329;None;None;None;158;2010-01-01T10:00:00
330;None;None;None;6;2010-01-01T10:00:00
331;None;None;None;72;2010-01-01T10:00:00
332;None;None;None;67;2010-01-01T10:00:00
333;None;None;None;71;2010-01-01T10:00:00
334;None;None;None;8;2010-01-01T10:00:00
335;None;None;None;34;2010-01-01T10:00:00
336;None;None;None;75;2010-01-01T10:00:00
337;None;None;None;101;2010-01-01T10:00:00
338;None;None;None;114;2010-01-01T10:00:00
339;None;None;None;57;2010-01-01T10:00:00
340;None;None;None;69;2010-01-01T10:00:00
341;None;None;None;48;2010-01-01T10:00:00
342;None;None;None;110;2010-01-01T10:00:00
343;None;None;None;74;2010-01-01T10:00:00
344;None;None;None;155;2010-01-01T10:00:00
345;None;None;None;93;2010-01-01T10:00:00
346;None;None;None;177;2010-01-01T10:00:00
347;None;None;None;162;2010-01-01T10:00:00
348;None;None;None;117;2010-01-01T10:00:00
349;None;None;None;151;2010-01-01T10:00:00
350;None;None;None;62;2010-01-01T10:00:00
351;None;None;None;51;2010-01-01T10:00:00
352;None;None;None;147;2010-01-01T10:00:00
353;None;None;None;59;2010-01-01T10:00:00
354;None;None;None;141;2010-01-01T10:00:00
355;None;None;None;32;2010-01-01T10:00:00
356;None;None;None;30;2010-01-01T10:00:00
357;None;None;None;85;2010-01-01T10:00:00
358;None;None;None;53;2010-01-01T10:00:00
359;None;None;None;101;2010-01-01T10:00:00
360;None;None;None;168;2010-01-01T10:00:00
361;None;None;None;93;2010-01-01T10:00:00
362;None;None;None;159;2010-01-01T10:00:00
363;None;None;None;48;2010-01-01T10:00:00
364;None;None;None;114;2010-01-01T10:00:00
365;None;None;None;108;2010-01-01T10:00:00
366;None;None;None;118;2010-01-01T10:00:00
367;None;None;None;99;2010-01-01T10:00:00
368;None;None;None;136;2010-01-01T10:00:00
369;None;None;None;106;2010-01-01T10:00:00
370;None;None;None;131;2010-01-01T10:00:00
371;None;None;None;60;2010-01-01T10:00:00
372;None;None;None;125;2010-01-01T10:00:00
373;None;None;None;20;2010-01-01T10:00:00
374;None;None;None;154;2010-01-01T10:00:00
375;None;None;None;118;2010-01-01T10:00:00
376;None;None;None;55;2010-01-01T10:00:00
377;None;None;None;121;2010-01-01T10:00:00
378;None;None;None;174;2010-01-01T10:00:00
379;None;None;None;116;2010-01-01T10:00:00
380;None;None;None;20;2010-01-01T10:00:00
381;None;None;None;65;2010-01-01T10:00:00
382;None;None;None;48;2010-01-01T10:00:00
383;None;None;None;54;2010-01-01T10:00:00
384;None;None;None;148;2010-01-01T10:00:00
385;None;None;None;151;2010-01-01T10:00:00
386;None;None;None;173;2010-01-01T10:00:00
387;None;None;None;0;2010-01-01T10:00:00
388;None;None;None;143;2010-01-01T10:00:00
389;None;None;None;155;2010-01-01T10:00:00
390;None;None;None;34;2010-01-01T10:00:00
391;None;None;None;53;2010-01-01T10:00:00
392;None;None;None;69;2010-01-01T10:00:00
393;None;None;None;118;2010-01-01T10:00:00
394;None;None;None;52;2010-01-01T10:00:00
395;None;None;None;53;2010-01-01T10:00:00
396;None;None;None;77;2010-01-01T10:00:00
397;None;None;None;30;2010-01-01T10:00:00
398;None;None;None;137;2010-01-01T10:00:00
399;None;None;None;74;2010-01-01T10:00:00
400;None;None;None;49;2010-01-01T10:00:00
401;None;None;None;71;2010-01-01T10:00:00
402;None;None;None;172;2010-01-01T10:00:00
403;None;None;None;126;2010-01-01T10:00:00
404;None;None;None;156;2010-01-01T10:00:00
405;None;None;None;25;2010-01-01T10:00:00
406;None;None;None;166;2010-01-01T10:00:00
407;None;None;None;2;2010-01-01T10:00:00
408;None;None;None;149;2010-01-01T10:00:00
409;None;None;None;86;2010-01-01T10:00:00
410;None;None;None;51;2010-01-01T10:00:00
411;None;None;None;97;2010-01-01T10:00:00
412;None;None;None;55;2010-01-01T10:00:00
413;None;None;None;30;2010-01-01T10:00:00
414;None;None;None;97;2010-01-01T10:00:00
415;None;None;None;98;2010-01-01T10:00:00
416;None;None;None;32;2010-01-01T10:00:00
417;None;None;None;4;2010-01-01T10:00:00
418;None;None;None;65;2010-01-01T10:00:00
419;None;None;None;145;2010-01-01T10:00:00
420;None;None;None;149;2010-01-01T10:00:00
421;None;None;None;70;2010-01-01T10:00:00
422;None;None;None;22;2010-01-01T10:00:00
423;None;None;None;86;2010-01-01T10:00:00
424;None;None;None;162;2010-01-01T10:00:00
425;None;None;None;49;2010-01-01T10:00:00
426;None;None;None;153;2010-01-01T10:00:00
427;None;None;None;142;2010-01-01T10:00:00
428;None;None;None;170;2010-01-01T10:00:00
429;None;None;None;105;2010-01-01T10:00:00
430;None;None;None;56;2010-01-01T10:00:00
431;None;None;None;127;2010-01-01T10:00:00
432;None;None;None;101;2010-01-01T10:00:00
433;None;None;None;161;2010-01-01T10:00:00
434;None;None;None;114;2010-01-01T10:00:00
435;None;None;None;147;2010-01-01T10:00:00
436;None;None;None;71;2010-01-01T10:00:00
437;None;None;None;5;2010-01-01T10:00:00
438;None;None;None;78;2010-01-01T10:00:00
439;None;None;None;157;2010-01-01T10:00:00
440;None;None;None;139;2010-01-01T10:00:00
441;None;None;None;35;2010-01-01T10:00:00
442;None;None;None;17;2010-01-01T10:00:00
443;None;None;None;11;2010-01-01T10:00:00
444;None;None;None;71;2010-01-01T10:00:00
445;None;None;None;58;2010-01-01T10:00:00
446;None;None;None;110;2010-01-01T10:00:00
447;None;None;None;159;2010-01-01T10:00:00
448;None;None;None;40;2010-01-01T10:00:00
449;None;None;None;84;2010-01-01T10:00:00
450;None;None;None;57;2010-01-01T10:00:00
451;None;None;None;59;2010-01-01T10:00:00
452;None;None;None;146;2010-01-01T10:00:00
453;None;None;None;16;2010-01-01T10:00:00
454;None;None;None;153;2010-01-01T10:00:00
455;None;None;None;6;2010-01-01T10:00:00
456;None;None;None;170;2010-01-01T10:00:00
457;None;None;None;77;2010-01-01T10:00:00
458;None;None;None;154;2010-01-01T10:00:00
459;None;None;None;94;2010-01-01T10:00:00
460;None;None;None;162;2010-01-01T10:00:00
461;None;None;None;14;2010-01-01T10:00:00
462;None;None;None;74;2010-01-01T10:00:00
463;None;None;None;110;2010-01-01T10:00:00
464;None;None;None;60;2010-01-01T10:00:00
465;None;None;None;70;2010-01-01T10:00:00
466;None;None;None;32;2010-01-01T10:00:00
467;None;None;None;59;2010-01-01T10:00:00
468;None;None;None;11;2010-01-01T10:00:00
469;None;None;None;15;2010-01-01T10:00:00
470;None;None;None;87;2010-01-01T10:00:00
471;None;None;None;71;2010-01-01T10:00:00
472;None;None;None;152;2010-01-01T10:00:00
473;None;None;None;68;2010-01-01T10:00:00
474;None;None;None;69;2010-01-01T10:00:00
475;None;None;None;142;2010-01-01T10:00:00
476;None;None;None;50;2010-01-01T10:00:00
477;None;None;None;1;2010-01-01T10:00:00
478;None;None;None;116;2010-01-01T10:00:00
479;None;None;None;145;2010-01-01T10:00:00
480;None;None;None;88;2010-01-01T10:00:00
481;None;None;None;113;2010-01-01T10:00:00
482;None;None;None;71;2010-01-01T10:00:00
483;None;None;None;156;2010-01-01T10:00:00
484;None;None;None;33;2010-01-01T10:00:00
485;None;None;None;39;2010-01-01T10:00:00
486;None;None;None;92;2010-01-01T10:00:00
487;None;None;None;34;2010-01-01T10:00:00
488;None;None;None;108;2010-01-01T10:00:00
489;None;None;None;173;2010-01-01T10:00:00
490;None;None;None;94;2010-01-01T10:00:00
491;None;None;None;28;2010-01-01T10:00:00
492;None;None;None;60;2010-01-01T10:00:00
493;None;None;None;111;2010-01-01T10:00:00
494;None;None;None;62;2010-01-01T10:00:00
495;None;None;None;3;2010-01-01T10:00:00
496;None;None;None;25;2010-01-01T10:00:00
497;None;None;None;69;2010-01-01T10:00:00
498;None;None;None;63;2010-01-01T10:00:00
499;None;None;None;39;2010-01-01T10:00:00
500;None;None;None;84;2010-01-01T10:00:00
501;None;None;None;2;2010-01-01T10:00:00
502;None;None;None;159;2010-01-01T10:00:00
503;None;None;None;160;2010-01-01T10:00:00
504;None;None;None;158;2010-01-01T10:00:00
505;None;None;None;85;2010-01-01T10:00:00
506;None;None;None;4;2010-01-01T10:00:00
507;None;None;None;148;2010-01-01T10:00:00
508;None;None;None;107;2010-01-01T10:00:00
509;None;None;None;96;2010-01-01T10:00:00
510;None;None;None;170;2010-01-01T10:00:00
511;None;None;None;49;2010-01-01T10:00:00
512;None;None;None;119;2010-01-01T10:00:00
513;None;None;None;143;2010-01-01T10:00:00
514;None;None;None;124;2010-01-01T10:00:00
515;None;None;None;65;2010-01-01T10:00:00
516;None;None;None;117;2010-01-01T10:00:00
517;None;None;None;100;2010-01-01T10:00:00
518;None;None;None;9;2010-01-01T10:00:00
519;None;None;None;47;2010-01-01T10:00:00
520;None;None;None;71;2010-01-01T10:00:00
521;None;None;None;43;2010-01-01T10:00:00
522;None;None;None;91;2010-01-01T10:00:00
523;None;None;None;28;2010-01-01T10:00:00
524;None;None;None;1;2010-01-01T10:00:00
525;None;None;None;99;2010-01-01T10:00:00
526;None;None;None;116;2010-01-01T10:00:00
527;None;None;None;86;2010-01-01T10:00:00
528;None;None;None;153;2010-01-01T10:00:00
529;None;None;None;81;2010-01-01T10:00:00
530;None;None;None;22;2010-01-01T10:00:00
531;None;None;None;92;2010-01-01T10:00:00
532;None;None;None;49;2010-01-01T10:00:00
533;None;None;None;175;2010-01-01T10:00:00
534;None;None;None;29;2010-01-01T10:00:00
535;None;None;None;60;2010-01-01T10:00:00
536;None;None;None;126;2010-01-01T10:00:00
537;None;None;None;17;2010-01-01T10:00:00
538;None;None;None;6;2010-01-01T10:00:00
539;None;None;None;109;2010-01-01T10:00:00
540;None;None;None;44;2010-01-01T10:00:00
541;None;None;None;151;2010-01-01T10:00:00
542;None;None;None;42;2010-01-01T10:00:00
543;None;None;None;136;2010-01-01T10:00:00
544;None;None;None;167;2010-01-01T10:00:00
545;None;None;None;108;2010-01-01T10:00:00
546;None;None;None;11;2010-01-01T10:00:00
547;None;None;None;174;2010-01-01T10:00:00
548;None;None;None;70;2010-01-01T10:00:00
549;None;None;None;164;2010-01-01T10:00:00
550;None;None;None;64;2010-01-01T10:00:00
551;None;None;None;34;2010-01-01T10:00:00
552;None;None;None;148;2010-01-01T10:00:00
553;None;None;None;139;2010-01-01T10:00:00
554;None;None;None;42;2010-01-01T10:00:00
555;None;None;None;174;2010-01-01T10:00:00
556;None;None;None;64;2010-01-01T10:00:00
557;None;None;None;90;2010-01-01T10:00:00
558;None;None;None;161;2010-01-01T10:00:00
559;None;None;None;26;2010-01-01T10:00:00
560;None;None;None;51;2010-01-01T10:00:00
561;None;None;None;143;2010-01-01T10:00:00
562;None;None;None;103;2010-01-01T10:00:00
563;None;None;None;176;2010-01-01T10:00:00
564;None;None;None;52;2010-01-01T10:00:00
565;None;None;None;36;2010-01-01T10:00:00
566;None;None;None;169;2010-01-01T10:00:00
567;None;None;None;16;2010-01-01T10:00:00
568;None;None;None;99;2010-01-01T10:00:00
569;None;None;None;29;2010-01-01T10:00:00
570;None;None;None;133;2010-01-01T10:00:00
571;None;None;None;156;2010-01-01T10:00:00
572;None;None;None;42;2010-01-01T10:00:00
573;None;None;None;126;2010-01-01T10:00:00
574;None;None;None;92;2010-01-01T10:00:00
575;None;None;None;103;2010-01-01T10:00:00
576;None;None;None;47;2010-01-01T10:00:00
577;None;None;None;121;2010-01-01T10:00:00
578;None;None;None;66;2010-01-01T10:00:00
579;None;None;None;86;2010-01-01T10:00:00
580;None;None;None;70;2010-01-01T10:00:00
581;None;None;None;65;2010-01-01T10:00:00
582;None;None;None;161;2010-01-01T10:00:00
583;None;None;None;133;2010-01-01T10:00:00
584;None;None;None;168;2010-01-01T10:00:00
585;None;None;None;101;2010-01-01T10:00:00
586;None;None;None;29;2010-01-01T10:00:00
587;None;None;None;90;2010-01-01T10:00:00
588;None;None;None;148;2010-01-01T10:00:00
589;None;None;None;62;2010-01-01T10:00:00
590;None;None;None;137;2010-01-01T10:00:00
591;None;None;None;113;2010-01-01T10:00:00
592;None;None;None;81;2010-01-01T10:00:00
593;None;None;None;20;2010-01-01T10:00:00
594;None;None;None;131;2010-01-01T10:00:00
595;None;None;None;65;2010-01-01T10:00:00
596;None;None;None;124;2010-01-01T10:00:00
597;None;None;None;83;2010-01-01T10:00:00
598;None;None;None;162;2010-01-01T10:00:00
599;None;None;None;48;2010-01-01T10:00:00
600;None;None;None;94;2010-01-01T10:00:00
601;None;None;None;94;2010-01-01T10:00:00
602;None;None;None;13;2010-01-01T10:00:00
603;None;None;None;42;2010-01-01T10:00:00
604;None;None;None;176;2010-01-01T10:00:00
605;None;None;None;141;2010-01-01T10:00:00
